player,team,eliminations,deaths,damage,healing,name,hometown,role,country
Adora,Hangzhou Spark,16.01,3.88,5390,5678,Jaehwan Kang,South Korea | Changwon,Offense,South Korea 
Agilities,Los Angeles Valiant,15.94,5.53,6591,6535,Brady Girardi,Canada | Lethbridge,Offense,Canada 
AimGod,Boston Uprising,13.42,4.69,6721,9486,Minseok Kwon,South Korea | Busan,Support,South Korea 
aKm,Dallas Fuel,17.3,5.18,9600,158,Dylan Bignet,France | Angoulême,Offense,France 
alemao,Boston Uprising,8.19,4.99,3918,5662,Renan Moretto,"Brazil | São Caetano do Sul, São Paulo",Support,Brazil 
ameng,Chengdu Hunters,16.48,6.21,7051,0,Menghan Ding,China | Henan,Tank,China 
Anamo,New York Excelsior,14.17,2.75,3948,6563,Tae-Sung Jung,South Korea | Pohang,Support,South Korea 
Architect,San Francisco Shock,18.19,4.56,7825,3806,Minho Park,South Korea | Hongseong,Offense,South Korea 
ArHaN,Houston Outlaws,9.99,6.4,4640,7131,WonHyeop Jung,South Korea | BUSAN,Offense,South Korea 
ArK,Washington Justice,7.88,2.65,2482,6825,Yeonjun Hong,South Korea | Seoul,Support,South Korea 
Axxiom,Boston Uprising,13.59,6.33,7227,0,Minseob Park,South Korea | Seoul,Tank,South Korea 
babybay,Atlanta Reign,18.29,4.9,9724,153,Andrej Francisty,"United States | Chicago, IL",Offense,United States 
Baconjack,Chengdu Hunters,15.61,6.12,7305,123,Tzu-Heng Lo,Chinese Taipei | Taoyuan,Offense,Chinese Taipei 
Bani,Houston Outlaws,11.31,5.26,4791,6825,Christopher Benell,Canada | Ottawa,Support,Canada 
Bazzi,Hangzhou Spark,15.82,5.85,5369,7506,JunKi Park,South Korea | Busan,Offense,South Korea 
Bdosin,London Spitfire,15.05,4.11,6983,8836,Seungtae Choi,South Korea | Suwon,Support,South Korea 
BEBE,Hangzhou Spark,14.16,3.96,7197,9429,Heechang Yoon,South Korea | DAEGU,Support,South Korea 
BenBest,Paris Eternal,13.42,6.59,6648,0,Benjamin Dieulafait,France | Nice,Tank,France 
BigG00se,Los Angeles Gladiators,12.36,4.69,3870,6429,Benjamin Isohanni,Finland | Kokkola,Support,Finland 
Bischu,Guangzhou Charge,16.8,5.93,7229,1836,Aaron Kim,South Korea | Seoul,Tank,South Korea 
blase,Boston Uprising,14.12,5.69,5288,5127,Jeffrey Tsang,"United States | Burke, Virgina",Offense,United States 
Boink,Houston Outlaws,8.68,5.09,2736,5754,Daniel Pence,"United States | Chicago, IL",Support,United States 
Boombox,Philadelphia Fusion,14.72,4.69,6282,9251,Isaac Charles,United Kingdom | Boston,Support,United Kingdom 
bqb,Florida Mayhem,16.44,4.81,8641,319,Sangbum Lee,South Korea | Youngin,Offense,South Korea 
BUMPER,Vancouver Titans,16.64,5.91,7969,6,Sangbeom Park,South Korea | Seoul,Tank,South Korea 
byrem,Florida Mayhem,11.42,5.37,5266,7719,SeongJoo Lee,South Korea | Gangwon-do,Support,South Korea 
carpe,Philadelphia Fusion,17.99,4.85,8782,137,JaeHyeok Lee,South Korea | Daejeon,Offense,South Korea 
Chara,Guangzhou Charge,10.37,3.87,3932,5914,Jeong Yeon Kim,South Korea | Jeonju,Support,South Korea 
Choihyobin,San Francisco Shock,19.4,3.48,6035,302,Hyobin Choi,South Korea | Seoul,Tank,South Korea 
Closer,Dallas Fuel,10.94,3.53,3511,6354,Wonsik Jung,South Korea | Seoul,Support,South Korea 
ColourHex,Boston Uprising,14.9,5.55,8649,168,Kelsey Birse,New Zealand | Queenstown,Offense,New Zealand 
CoMa,Shanghai Dragons,7.91,3.71,2070,6161,Gyeong Woo Son,South Korea | Daegu,Support,South Korea 
coolmatt,Houston Outlaws,15.21,4.53,6774,183,Matt Iorio,"United States | Laporte, IN",Tank,United States 
Corey,Washington Justice,15.03,5.21,9003,127,Corey Nigra,"United States | Bensalem, Philadelphia",Offense,United States 
Custa,Los Angeles Valiant,9.5,4.48,3074,6896,Scott Kennedy,"Australia | Blackwood, South Australia",Support,Australia 
Daco,Atlanta Reign,17.86,3.82,6663,41,Donghyung Seo,South Korea | Incheon,Tank,South Korea 
Danteh,Houston Outlaws,17.25,4.21,7516,406,Dante Cruz,"United States | Chicago, IL",Offense,United States 
danye,Paris Eternal,16.78,4.9,7861,1399,Karol Szcześniak,Poland | Kielce,Offense,Poland 
DDing,Shanghai Dragons,18.26,4.86,9069,378,Jinhyeok Yang,South Korea | Seoul,Offense,South Korea 
Decay,Los Angeles Gladiators,18.78,4.49,9050,149,Gui-un Jang,South Korea | Gongju,Offense,South Korea 
diem,Shanghai Dragons,19.07,4.78,8722,28,Min Sung Bae,South Korea | Busan,Offense,South Korea 
Diya,Shanghai Dragons,14.45,4.82,10081,0,Weida Lu,China | Liaoning,Offense,China 
Dogman,Atlanta Reign,15.03,5.04,6305,8955,Dusttin Bowerman,"United States | Gilbert, AZ",Support,United States 
Eileen,Guangzhou Charge,15.96,4.46,6577,3561,Yiliang Ou,China | Guangdong,Offense,China 
Elk,Philadelphia Fusion,12.14,5.41,5769,7268,Elijah Gallagher,"United States | Rosendale, NY",Support,United States 
Elsa,Chengdu Hunters,18.01,4.03,6932,111,Wenjie Luo,China | Chengdu,Tank,China 
Envy,Shanghai Dragons,16.78,4.47,6471,219,Kang-Jae Lee,South Korea | Seoul,Tank,South Korea 
eqo,Philadelphia Fusion,16.81,5.25,5976,6042,Josue Corona,Israel | Netenya,Offense,Israel 
Erster,Atlanta Reign,17.68,4.85,6217,5999,Jun Jeong,South Korea | Seoul,Offense,South Korea 
FCTFCTN,Los Angeles Valiant,13.47,6.24,5834,0,Russell Campbell,"United States | Midland, MI",Tank,United States 
Finnsi,Paris Eternal,18.21,4.57,6664,482,Finnbjorn Jonasson,Iceland | Reykjavík,Tank,Iceland 
FITS,Seoul Dynasty,18.89,4.58,9527,263,Dong Eon Kim,South Korea | Changwon,Offense,South Korea 
Fleta,Seoul Dynasty,17.99,4.73,8020,2659,ByungSun Kim,South Korea | Namyangju,Offense,South Korea 
fragi,Guangzhou Charge,18.78,5.44,4656,0,Joona Laine,Finland | Turku,Tank,Finland 
frd,Atlanta Reign,18.62,3.91,5983,477,Nathan Goebel,"United States | Saint Louis, MO",Tank,United States 
FunnyAstro,Atlanta Reign,11.76,5.29,3766,5403,Daniel Hathaway,"United Kingdom | Reading, England",Support,United Kingdom 
Fury,London Spitfire,18.86,3.91,6670,231,Junho Kim,South Korea | Seoul,Tank,South Korea 
Fusions,Boston Uprising,13.35,6.44,6461,0,Cameron Bosworth,United Kingdom | London,Tank,United Kingdom 
Gamsu,Shanghai Dragons,16.84,6.08,6835,0,YoungJin Noh,South Korea | Geyoungju-si,Tank,South Korea 
GARGOYLE,Florida Mayhem,18.23,4.38,5583,1047,Beom-jun Lee,South Korea | Busan,Tank,South Korea 
GARRY,Chengdu Hunters,10.67,4.17,5385,6345,Li Guan,China | Jiangsu,Support,China 
Gator,Atlanta Reign,15.56,6.57,6106,0,Blake Scott,"United States | Nashville, Tennessee",Tank,United States 
Geguri,Shanghai Dragons,17.48,4.92,6301,199,Se yeon Kim,South Korea | Daejeon,Tank,South Korea 
Gesture,London Spitfire,15.81,5.76,6492,0,Jaehui Hong,South Korea | Gunsan,Tank,South Korea 
Gido,Washington Justice,11.83,4.49,5866,8807,Gido Moon,South Korea | Incheon,Support,South Korea 
