team,eliminations,deaths,damage,healing,wins,losses,Wins-Losses
Vancouver Titans,17.23,4.55,6821.0,3819.8,25,3,22
San Francisco Shock,17.43,4.47,7259.8,3302.2,23,5,18
New York Excelsior,16.92,4.01,6336.1,3183.1,22,6,16
Hangzhou Spark,15.01,4.65,6278.5,4158.4,18,10,8
Los Angeles Gladiators,15.42,4.7,6921.1,4900.9,17,11,6
Atlanta Reign,15.78,5.05,6222.3,2971.2,16,12,4
London Spitfire,15.08,4.45,6163.0,4435.2,16,12,4
Philadelphia Fusion,14.56,5.17,5830.2,4716.6,15,13,2
Guangzhou Charge,14.54,4.38,5529.6,3245.3,15,13,2
Seoul Dynasty,15.93,4.23,6324.7,3699.5,15,13,2
Shanghai Dragons,15.57,4.96,6898.2,3087.3,13,15,-2
Chengdu Hunters,14.07,5.48,6501.3,2600.7,13,15,-2
Los Angeles Valiant,14.7,4.94,6220.2,2559.1,12,16,-4
Paris Eternal,14.78,5.62,6361.9,3633.3,11,17,-6
Dallas Fuel,13.46,5.39,5782.8,3517.4,10,18,-8
Houston Outlaws,13.63,5.35,5918.6,3501.1,9,19,-10
Boston Uprising,12.76,5.29,5818.5,4153.1,8,20,-12
Toronto Defiant,14.43,5.67,6676.5,2885.0,8,20,-12
Washington Justice,12.28,4.3,6009.0,5171.0,8,20,-12
Florida Mayhem,14.64,5.11,5423.8,3237.7,6,22,-16
