player,name,hometown,role
SASIN,SangHyun Song,South Korea | Seoul,Offense
JinMu,Hu Yi,China | Chengdu,Offense
KSF,Kyle Frandanisa,"United States | Puyallup, WA",Offense
Gesture,Jaehui Hong,South Korea | Gunsan,Tank
aKm,Dylan Bignet,France | Angoulême,Offense
Stitch,Chunghee Lee,South Korea | Gyeonggi-do,Offense
Rio,Seungpyo Oh,South Korea | Seoul,Tank
Krillin,Young Hoon Jeong,South Korea | Seoul,Support
Fusions,Cameron Bosworth,United Kingdom | London,Tank
Profit,Junyoung Park,South Korea | Jinju,Offense
uNKOE,Benjamin Chevasson,France | Nevers,Support
Greyy,Luís Perestrelo,Portugal | Barcelos,Support
Saebyeolbe,Jong-Ryeol Park,South Korea | Yangju,Offense
GodsB,Kyeong Bo Kim,South Korea | Ansung,Offense
diem,Min Sung Bae,South Korea | Busan,Offense
Ripa,Riku Toivanen,Finland | Hyvinkää,Support
sleepy,Nikola Andrews,"United States | Lakeland, FL",Support
Decay,Gui-un Jang,South Korea | Gongju,Offense
Kyb,Finley Adisi,United Kingdom | England,Offense
Neko,SeHyun Park,South Korea | Masan,Support
ColourHex,Kelsey Birse,New Zealand | Queenstown,Offense
fragi,Joona Laine,Finland | Turku,Tank
Closer,Wonsik Jung,South Korea | Seoul,Support
HyP,Damien Souville,France | Poitiers,Support
ryujehong,Jehong Ryu,South Korea | Incheon,Support
SPREE,Alexandre Vanhomwegen,Belgium | Koksijde,Tank
Libero,Haeseong Kim,South Korea | Anyang,Offense
sinatraa,Jay Won,"United States | Shoreline, WA",Offense
Kruise,Harrison Pond,United Kingdom | St.Albans,Support
FCTFCTN,Russell Campbell,"United States | Midland, MI",Tank
Rawkus,Shane Flaherty,"United States | New York City, NY",Support
Shax,Johannes Nielsen,Denmark | Skive,Offense
danye,Karol Szcześniak,Poland | Kielce,Offense
MekO,Tae-Hong Kim,South Korea | Busan,Tank
Twilight,Juseok Lee,South Korea | Mokpo,Support
blase,Jeffrey Tsang,"United States | Burke, Virgina",Offense
Michelle,Min Hyuk Choi,South Korea | Seoul,Tank
Yveltal,Xianyao Li,China | Zunyi,Support
Dogman,Dusttin Bowerman,"United States | Gilbert, AZ",Support
LhCloudy,Roni Tiihonen,Finland | Kotka,Tank
Danteh,Dante Cruz,"United States | Chicago, IL",Offense
Elk,Elijah Gallagher,"United States | Rosendale, NY",Support
Stratus,Ethan Yankel,"United States | Pittsburgh, Pennsylvania",Offense
Rascal,DongJun Kim,South Korea | Seoul,Offense
NotE,Lucas Meissner,Canada | Barrie,Tank
Diya,Weida Lu,China | Liaoning,Offense
shu,Jin Seo Kim,South Korea | Busan,Support
Trill,Ash Powell,Australia | Broome,Tank
NiCOgdh,Nicolas Moret,France | Bouilly,Offense
GARRY,Li Guan,China | Jiangsu,Support
Yakpung,Kyeongmu Cho,South Korea | Gwangju,Tank
Jake,Jake Lyon,"United States | San Diego, CA",Offense
OGE,Minseok Son,South Korea | Gimcheon,Tank
Elsa,Wenjie Luo,China | Chengdu,Tank
neptuNo,Alberto González Molinillo,Spain | El Puerto de Santa María,Support
Mickie,Pongphop Rattanasangchod,Thailand | Bangkok,Tank
ZUNBA,Joonhyeok Kim,South Korea | Boryung,Tank
frd,Nathan Goebel,"United States | Saint Louis, MO",Tank
Surefour,Lane Roberts,Canada | Calgary,Offense
Geguri,Se yeon Kim,South Korea | Daejeon,Tank
iDK,Ho jin Park,South Korea | Seoul,Support
rCk,Richard Kanerva,Finland | Kuopio,Tank
Guxue,Qiulin Xu,China | Nanchong,Tank
Mano,Dong-Gyu Kim,South Korea | Busan,Tank
Hydration,João Pedro Goes Telles,Brazil | Monte Claros,Offense
Revenge,HyungKeun Ahn,South Korea | Seoul,Support
Erster,Jun Jeong,South Korea | Seoul,Offense
YangXiaoLong,Zhihao Zhang,China | Shanghai,Offense
lateyoung,Tianbin Ma,China | Fujian,Tank
STRIKER,NamJu Gwon,South Korea | Wonju,Offense
ILLICIT,Je Min Park,South Korea | Suncheon,Offense
JJONAK,SeongHyun Bang,South Korea | Osan,Support
Nenne,Yeon-Gwan Jeong,South Korea | Taebaek,Offense
sayaplayer,Jeongwoo Ha,South Korea | Daegu,Offense
carpe,JaeHyeok Lee,South Korea | Daejeon,Offense
Envy,Kang-Jae Lee,South Korea | Seoul,Tank
Hooreg,Dong-Eun Lee,South Korea | Busan,Offense
Pokpo,Hyeonjun Park,South Korea | Gwangju,Tank
Pine,Do Hyeon Kim,South Korea | Seoul,Offense
Agilities,Brady Girardi,Canada | Lethbridge,Offense
super,Matthew DeLisi,"United States | Philadelphia, PA",Tank
babybay,Andrej Francisty,"United States | Chicago, IL",Offense
JIQIREN,Yansong Wei,China | Guangzhou,Tank
Kellex,Kristian Keller,Denmark | Roskilde,Support
Chara,Jeong Yeon Kim,South Korea | Jeonju,Support
Masaa,Petja Kantanen,Finland | Pieksämäki,Support
Baconjack,Tzu-Heng Lo,Chinese Taipei | Taoyuan,Offense
Daco,Donghyung Seo,South Korea | Incheon,Tank
Ria,Sungwook Park,South Korea | Seoul,Tank
Architect,Minho Park,South Korea | Hongseong,Offense
ArK,Yeonjun Hong,South Korea | Seoul,Support
ShaDowBurn,Georgii Gushcha,Russia | Moscow,Offense
Happy,Jeong Woo Lee,South Korea | Jeonju,Offense
Stellar,Dohyung Lee,South Korea | Uijeongbu,Offense
ELLIVOTE,Elliot Vaneryd,Sweden | Bureå,Tank
Highly,SungHyuk Lee,South Korea | Seoul,Support
RAPEL,Jun Keun Kim,South Korea | Cheongju,Support
Custa,Scott Kennedy,"Australia | Blackwood, South Australia",Support
HarryHook,Jonathan Tejedor Rua,Spain | Asturias,Support
BEBE,Heechang Yoon,South Korea | DAEGU,Support
FITS,Dong Eon Kim,South Korea | Changwon,Offense
nero,Charlie Zwarg,"United States | Arroyo Grande, CA",Offense
FunnyAstro,Daniel Hathaway,"United Kingdom | Reading, England",Support
ZachaREEE,Zachary Lombardo,"United States | Oviedo, Florida",Offense
Gido,Gido Moon,South Korea | Incheon,Support
Mcgravy,Caleb McGarvey,"United States | Springfield, Illinois",Tank
Bischu,Aaron Kim,South Korea | Seoul,Tank
SeoMinSoo,MinSoo Seo,South Korea | Seoul,Offense
LiNkzr,Jiri Masalin,Finland | Helsinki,Offense
